eval_loss,eval_Accuracy,eval_F1_Micro,eval_F1_Macro,eval_F1_Weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,TrainingTime,EvaluationTime,Model,Strategy
1.5798561573028564,0.32534843205574915,0.32534843205574915,0.18253630157694392,0.23832235830041812,5.2666,435.952,1.709,10.0,959.4872558116913,5.267521858215332,google-bert/bert-base-uncased,lora
1.575413703918457,0.33013937282229966,0.33013937282229966,0.20317339273780707,0.25814503548067236,15.7017,146.226,0.573,10.0,2931.086710214615,15.702481508255005,google-bert/bert-large-uncased,lora
1.5399494171142578,0.3384146341463415,0.3384146341463415,0.2742127691502965,0.3115470763579179,4.6708,491.561,1.927,10.0,900.6213715076447,4.671509027481079,FacebookAI/roberta-base,lora
1.4985110759735107,0.3554006968641115,0.3554006968641115,0.3170626710357776,0.34583237067813355,14.6131,157.119,0.616,10.0,2869.5441007614136,14.614129781723022,FacebookAI/roberta-large,lora
1.5960112810134888,0.32665505226480834,0.32665505226480834,0.21198091289929066,0.2598665107615846,1.1949,1921.578,7.532,10.0,208.40682721138,1.1954798698425293,ibm-granite/granite-embedding-30m-english,lora
1.5501912832260132,0.33797909407665505,0.33797909407665505,0.2132409942240753,0.2696844601902981,4.8121,477.135,1.87,10.0,911.7947766780853,4.812794923782349,ibm-granite/granite-embedding-125m-english,lora
1.6365787982940674,0.31576655052264807,0.31576655052264807,0.16918565269467659,0.22383543417936855,2.7174,844.94,3.312,10.0,512.6599814891815,2.717974901199341,microsoft/deberta-v3-xsmall,lora
1.6132500171661377,0.31402439024390244,0.31402439024390244,0.13686962668023295,0.19445845906928436,3.5158,653.049,2.56,10.0,632.4124522209167,3.5165138244628906,microsoft/deberta-v3-small,lora
1.5785021781921387,0.3205574912891986,0.3205574912891986,0.14398306834858965,0.20503007834295822,6.2715,366.101,1.435,10.0,1196.316509962082,6.272130966186523,microsoft/deberta-v3-base,lora
1.6856751441955566,0.3000871080139373,0.3000871080139373,0.10566354829688353,0.15979194856769982,2.0658,1111.443,4.357,10.0,377.82311725616455,2.0664405822753906,intfloat/e5-small-v2,lora
1.5587787628173828,0.32534843205574915,0.32534843205574915,0.18391659528372525,0.24003362717365653,5.0513,454.537,1.782,10.0,917.7215323448181,5.052180767059326,intfloat/e5-base-v2,lora
1.5447858572006226,0.33057491289198604,0.33057491289198604,0.20225487136765327,0.25656525375508715,15.5656,147.505,0.578,10.0,2890.301468849182,15.566419124603271,intfloat/e5-large-v2,lora
1.7273850440979004,0.2852787456445993,0.2852787456445993,0.07433889456361366,0.12821516658184237,5.2577,436.696,1.712,10.0,927.99831199646,5.258832216262817,google-bert/bert-base-uncased,ia3
1.7298825979232788,0.2848432055749129,0.2848432055749129,0.07987989451677562,0.1327094524969077,15.4277,148.823,0.583,10.0,2945.785609960556,15.428395509719849,google-bert/bert-large-uncased,ia3
1.762793779373169,0.2874564459930314,0.2874564459930314,0.07442489851150204,0.12836350091705054,4.6383,495.01,1.94,10.0,902.0158343315125,4.639028787612915,FacebookAI/roberta-base,ia3
1.6711840629577637,0.3118466898954704,0.3118466898954704,0.14266348903802864,0.19641713840358163,14.5519,157.78,0.618,10.0,2867.8123695850372,14.552584886550903,FacebookAI/roberta-large,ia3
1.6138625144958496,0.32360627177700346,0.32360627177700346,0.20538961139025658,0.2533108793171048,1.1865,1935.174,7.586,10.0,208.30644273757935,1.1871180534362793,ibm-granite/granite-embedding-30m-english,ia3
1.6292798519134521,0.3170731707317073,0.3170731707317073,0.16140284944070313,0.212961110018897,4.6268,496.237,1.945,10.0,910.4665260314941,4.627570390701294,ibm-granite/granite-embedding-125m-english,ia3
1.7843800783157349,0.2874564459930314,0.2874564459930314,0.07442489851150204,0.12836350091705054,2.6999,850.412,3.333,10.0,512.2017066478729,2.700749397277832,microsoft/deberta-v3-xsmall,ia3
1.76177179813385,0.2874564459930314,0.2874564459930314,0.07442489851150204,0.12836350091705054,3.4984,656.299,2.573,10.0,632.8633046150208,3.499056100845337,microsoft/deberta-v3-small,ia3
1.7635128498077393,0.2874564459930314,0.2874564459930314,0.07442489851150204,0.12836350091705054,6.2295,368.57,1.445,10.0,1199.666561126709,6.230126619338989,microsoft/deberta-v3-base,ia3
1.7851275205612183,0.2874564459930314,0.2874564459930314,0.07442489851150204,0.12836350091705054,2.0516,1119.103,4.387,10.0,381.4583668708801,2.0522706508636475,intfloat/e5-small-v2,ia3
1.739586353302002,0.2874564459930314,0.2874564459930314,0.07442489851150204,0.12836350091705054,5.0161,457.722,1.794,10.0,920.6160705089569,5.016780138015747,intfloat/e5-base-v2,ia3
1.7131279706954956,0.28614982578397213,0.28614982578397213,0.07800818149786899,0.1318124371029858,15.3157,149.912,0.588,10.0,2884.3558728694916,15.316311359405518,intfloat/e5-large-v2,ia3
1.5279866456985474,0.34668989547038326,0.34668989547038326,0.3085831122934704,0.3356491728836876,4.886,469.91,1.842,10.0,1231.283075094223,4.886740207672119,google-bert/bert-base-uncased,full_fine_tuning
1.5296671390533447,0.352787456445993,0.352787456445993,0.32913932921778805,0.3535032964660462,14.9366,153.716,0.603,10.0,3922.4749279022217,14.937554121017456,google-bert/bert-large-uncased,full_fine_tuning
1.5067634582519531,0.3501742160278746,0.3501742160278746,0.3224382094917222,0.3436554034847769,4.51,509.097,1.996,10.0,1217.9123332500458,4.510795831680298,FacebookAI/roberta-base,full_fine_tuning
